Datetime,Power_kW,temp_C,HR,solarRad_W/m2,Holiday,Power-1,Hour,Week Day,Month
2017-12-27 07:00:00,160.528914,12.013333333333334,79.52499999999999,2.29175,0.0,137.1699875,7,2,12
2017-12-27 08:00:00,196.1990758,12.322499999999998,77.10833333333333,52.07666666666666,0.0,160.528914,8,2,12
2017-12-27 09:00:00,250.9693277,13.07,74.84166666666667,208.54166666666663,0.0,196.1990758,9,2,12
2017-12-27 10:00:00,297.4519275,13.643333333333333,71.80666666666666,254.4083333333333,0.0,250.9693277,10,2,12
2017-12-27 11:00:00,301.7990885,13.659166666666666,67.31666666666665,277.72499999999997,0.0,297.4519275,11,2,12
2017-12-27 12:00:00,285.6576632,13.118571428571428,73.7757142857143,283.02714285714285,0.0,301.7990885,12,2,12
2017-12-27 13:00:00,274.1827907,13.431666666666667,71.22833333333334,239.48333333333332,0.0,285.6576632,13,2,12
2017-12-27 14:00:00,294.4038916,12.999166666666667,73.11416666666668,273.96666666666664,0.0,274.1827907,14,2,12
2017-12-27 15:00:00,286.7979296,13.609166666666669,66.39250000000001,198.24,0.0,294.4038916,15,2,12
2017-12-27 16:00:00,263.684512,13.516666666666667,71.03083333333333,75.78083333333333,0.0,286.7979296,16,2,12
2017-12-27 17:00:00,232.2332103,13.242499999999998,75.24999999999999,6.073333333333334,0.0,263.684512,17,2,12
2017-12-27 18:00:00,170.9267287,13.225833333333334,76.10833333333333,1.5829166666666667,0.0,232.2332103,18,2,12
2017-12-27 19:00:00,144.111422,13.292499999999999,78.5,1.5969166666666668,0.0,170.9267287,19,2,12
2017-12-28 06:00:00,147.4114551,13.460833333333333,87.16666666666667,1.1906666666666668,0.0,144.111422,6,3,12
2017-12-28 07:00:00,162.5610077,13.443333333333333,87.80833333333334,2.526916666666667,0.0,147.4114551,7,3,12
2017-12-28 08:00:00,186.0875835,13.546666666666667,88.61666666666666,33.945,0.0,162.5610077,8,3,12
2017-12-28 09:00:00,234.6924853,13.904166666666669,87.68333333333334,121.91083333333331,0.0,186.0875835,9,3,12
2017-12-28 10:00:00,266.8223376,14.473333333333334,84.22500000000001,196.25,0.0,234.6924853,10,3,12
2017-12-28 11:00:00,267.0596838,15.060833333333333,77.06666666666668,369.7916666666667,0.0,266.8223376,11,3,12
2017-12-28 12:00:00,251.3138355,15.35,71.41916666666667,420.0583333333334,0.0,267.0596838,12,3,12
2017-12-28 13:00:00,238.409444,15.146666666666667,73.8,342.2083333333333,0.0,251.3138355,13,3,12
2017-12-28 14:00:00,253.2498605,15.054166666666665,73.025,268.27500000000003,0.0,238.409444,14,3,12
2017-12-28 15:00:00,264.2211572,14.747499999999997,77.50000000000001,162.96749999999997,0.0,253.2498605,15,3,12
2017-12-28 16:00:00,253.5784615,14.666666666666664,77.76666666666667,45.11583333333332,0.0,264.2211572,16,3,12
2017-12-28 17:00:00,228.356765,14.3375,79.53333333333335,4.769416666666667,0.0,253.5784615,17,3,12
2017-12-28 18:00:00,171.2526088,14.3275,80.63333333333334,1.4395833333333332,0.0,228.356765,18,3,12
