Datetime,index,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Holiday
2017-05-31 10:00:00,3609,337.0424876,20.881666666666668,55.34333333333333,3.6094999999999993,4.675166666666667,1018.25,855.5,0.0,0.0,0.0
2017-05-31 11:00:00,3610,356.8184074,21.521666666666665,51.205000000000005,3.4924166666666667,4.884833333333333,1018.25,940.3333333333334,0.0,0.0,0.0
2017-05-31 12:00:00,3611,369.2328276,21.849999999999998,49.99,4.2855,5.828749999999999,1018.0,973.9166666666666,0.0,0.0,0.0
2017-05-31 13:00:00,3612,365.8882136,21.738333333333333,51.14333333333334,5.227333333333333,6.33125,1018.0,956.0,0.0,0.0,0.0
2017-05-31 14:00:00,3613,384.814794,21.73166666666667,52.112500000000004,4.9775,6.3325,1018.0,883.8333333333334,0.0,0.0,0.0
2017-05-31 15:00:00,3614,399.4729102,21.069999999999997,55.51333333333333,6.5535000000000005,7.986250000000001,1018.0,764.1333333333333,0.0,0.0,0.0
2017-05-31 16:00:00,3615,362.1856966,20.156666666666666,58.18833333333333,7.4656666666666665,9.1,1017.8333333333334,604.5833333333334,0.0,0.0,0.0
2017-05-31 17:00:00,3616,331.6465243,19.131666666666664,61.08583333333333,7.931,9.414166666666667,1017.9166666666666,415.075,0.0,0.0,0.0
2017-05-31 18:00:00,3617,281.6794981,18.040000000000003,64.11666666666666,8.685666666666664,10.042499999999999,1017.9166666666666,215.35833333333338,0.0,0.0,0.0
2017-05-31 19:00:00,3618,204.0342213,17.664166666666667,64.18166666666667,7.636583333333334,9.246083333333333,1018.0,47.45333333333334,0.0,0.0,0.0
2017-05-31 20:00:00,3619,170.4076647,16.885,65.30916666666666,7.266333333333333,8.95025,1018.3333333333334,1.0218333333333336,0.0,0.0,0.0
2017-05-31 21:00:00,3620,166.4309647,16.115833333333338,67.43333333333332,7.455000000000001,9.056583333333334,1019.0,0.8650000000000001,0.0,0.0,0.0
2017-05-31 22:00:00,3621,151.0710656,16.2525,64.35416666666667,6.613250000000001,7.947166666666665,1019.0,0.91825,0.0,0.0,0.0
2017-05-31 23:00:00,3622,145.8559375,15.897499999999996,65.87083333333332,6.345833333333334,7.883500000000001,1019.0,0.7730833333333332,0.0,0.0,0.0
2017-01-06 00:00:00,3623,146.6862306,9.445,95.70000000000003,1.5304999999999997,2.138333333333333,1026.0,0.7595000000000001,0.06666666666666667,0.0,0.0
2017-01-06 01:00:00,3624,142.9089935,9.258333333333335,95.89166666666665,1.7539999999999998,2.180333333333333,1026.0,1.09425,0.0,0.0,0.0
2017-01-06 02:00:00,3625,142.8233898,9.056666666666667,96.05833333333334,2.141916666666667,2.7883333333333336,1026.0,0.8448333333333334,0.0,0.0,0.0
2017-01-06 03:00:00,3626,141.3107787,8.610000000000001,96.34166666666665,3.5448333333333326,4.549333333333333,1026.0,0.8726666666666668,0.0,0.0,0.0
2017-01-06 04:00:00,3627,136.4905997,8.184166666666666,96.64999999999999,3.25475,4.318916666666666,1026.0,1.0249166666666667,0.0,0.0,0.0
2017-01-06 05:00:00,3628,132.1880196,8.361666666666666,96.56666666666666,3.3440833333333333,4.570249999999999,1026.0,0.7965000000000001,0.0,0.0,0.0
2017-01-06 06:00:00,3629,143.5762419,8.220833333333333,96.68333333333335,3.9116666666666657,5.283166666666667,1026.1666666666667,0.6348333333333332,0.0,0.0,0.0
2017-01-06 07:00:00,3630,167.3491638,7.815833333333333,96.90000000000002,3.779,5.0945,1027.0,0.8773333333333334,0.0,0.0,0.0
2017-01-06 08:00:00,3631,230.263488,7.44,97.11666666666667,5.150416666666667,6.436916666666666,1027.0,19.59175,0.0,0.0,0.0
2017-01-06 09:00:00,3632,288.8873715,7.142499999999998,97.325,4.4550833333333335,5.933499999999999,1027.6666666666667,63.7175,0.008333333333333333,0.008333333333333333,0.0
2017-01-06 10:00:00,3633,312.5573178,7.178666666666668,97.31666666666665,4.32575,5.7444999999999995,1028.0,143.54999999999998,0.09166666666666666,0.09999999999999999,0.0
2017-01-06 11:00:00,3634,317.4842398,7.409166666666667,97.2,2.984083333333333,4.067166666666666,1028.0,225.275,0.0,0.09999999999999999,0.0
2017-01-06 12:00:00,3635,305.0020064,7.896666666666666,96.98333333333333,3.0974999999999997,4.255833333333333,1027.0,274.40000000000003,0.0,0.09999999999999999,0.0
2017-01-06 13:00:00,3636,306.3990839,8.71,93.39166666666665,3.02425,3.815583333333334,1026.1666666666667,373.825,0.0,0.09999999999999999,0.0
2017-01-06 14:00:00,3637,340.9731416,10.915000000000001,77.92499999999998,2.6365000000000003,3.543083333333333,1026.0,373.10833333333335,0.0,0.09999999999999999,0.0
2017-01-06 15:00:00,3638,352.6771976,12.513333333333334,70.89583333333333,1.9864166666666667,2.89325,1026.0,256.75833333333327,0.0,0.09999999999999999,0.0
2017-01-06 16:00:00,3639,342.2632668,12.749999999999998,71.04083333333332,2.093,2.851333333333333,1026.0,115.36583333333333,0.0,0.09999999999999999,0.0
2017-01-06 17:00:00,3640,303.1534688,12.152500000000002,73.525,3.1621666666666672,3.5431666666666666,1026.0,9.687416666666666,0.0,0.09999999999999999,0.0
2017-01-06 18:00:00,3641,250.421171,12.3575,71.32666666666667,3.1272499999999996,3.5223333333333335,1026.9166666666667,1.0179166666666666,0.0,0.09999999999999999,0.0
2017-01-06 19:00:00,3642,210.4094993,12.5375,68.44333333333333,3.4625000000000004,3.8577499999999993,1027.0,0.71075,0.0,0.09999999999999999,0.0
2017-01-06 20:00:00,3643,170.2454572,12.189166666666667,67.63583333333334,4.6209999999999996,5.450833333333333,1027.0,0.7039166666666667,0.0,0.09999999999999999,0.0
2017-01-06 21:00:00,3644,153.9294757,11.205833333333333,68.18666666666667,4.490083333333334,5.49275,1027.9166666666667,0.9833333333333334,0.0,0.09999999999999999,0.0
2017-01-06 22:00:00,3645,145.1476663,10.2,70.64,4.007666666666666,4.821916666666667,1028.0,0.9485,0.0,0.09999999999999999,0.0
2017-01-06 23:00:00,3646,141.3526387,9.675384615384614,71.08461538461539,3.922076923076923,4.760615384615385,1028.2307692307693,0.9312307692307692,0.0,0.1,0.0
2017-02-06 00:00:00,3647,141.4242193,11.396666666666667,71.8,1.1793333333333331,1.3626666666666665,1032.5,2.1881666666666666,0.0,0.0,0.0
2017-02-06 01:00:00,3648,139.7071221,11.347499999999998,74.825,2.7726666666666664,3.14475,1032.0,2.477,0.0,0.0,0.0
2017-02-06 02:00:00,3649,137.7317487,11.484166666666667,76.425,2.3865,2.8724166666666666,1032.0,2.322,0.0,0.0,0.0
2017-02-06 03:00:00,3650,138.236371,10.838333333333333,80.02499999999999,1.2194166666666666,1.5305,1032.0,2.8618333333333332,0.0,0.0,0.0
2017-02-06 04:00:00,3651,137.0940116,11.238333333333332,80.45,2.4423333333333335,2.9770833333333333,1032.0,3.502166666666667,0.0,0.0,0.0
2017-02-06 05:00:00,3652,125.6279297,11.531666666666666,81.00000000000001,3.7125,4.2138333333333335,1032.0,3.0355833333333333,0.0,0.0,0.0
2017-02-06 06:00:00,3653,130.3564353,11.591666666666667,81.74166666666666,3.454,3.9623333333333335,1032.0,3.5056666666666665,0.0,0.0,0.0
2017-02-06 07:00:00,3654,161.2836498,11.571666666666667,82.75000000000001,3.2146666666666666,3.8156666666666665,1032.0,7.2054166666666655,0.0,0.0,0.0
2017-02-06 08:00:00,3655,223.1717761,11.691666666666665,83.59166666666667,3.5815,4.339666666666667,1032.0,106.38916666666665,0.0,0.0,0.0
2017-02-06 09:00:00,3656,270.4005304,13.049166666666665,80.49166666666667,3.543083333333333,4.549416666666667,1032.0,243.09166666666667,0.0,0.0,0.0
2017-02-06 10:00:00,3657,309.2955866,14.086666666666666,75.18333333333334,4.345,6.017166666666665,1032.0,440.5666666666668,0.0,0.0,0.0
2017-02-06 11:00:00,3658,315.0458948,14.349166666666669,72.50833333333333,5.187583333333334,6.750583333333335,1032.0,498.78333333333336,0.0,0.0,0.0
2017-02-06 12:00:00,3659,303.9228556,14.514999999999999,70.845,5.181916666666667,6.750333333333334,1031.9166666666667,570.9666666666666,0.0,0.0,0.0
2017-02-06 13:00:00,3660,305.9019964,14.529166666666667,69.31333333333333,5.220250000000001,6.689166666666666,1031.0,526.5916666666666,0.0,0.0,0.0
2017-02-06 14:00:00,3661,330.017961,14.620833333333335,67.8025,5.108916666666667,6.833916666666666,1030.0,515.6833333333333,0.0,0.0,0.0
2017-02-06 15:00:00,3662,337.3704607,14.456666666666665,69.33166666666668,6.111166666666667,7.798749999999999,1030.0,353.9166666666667,0.0,0.0,0.0
2017-02-06 16:00:00,3663,311.8143028,14.144166666666663,74.1,5.24125,6.7514166666666675,1030.0,180.94999999999996,0.0,0.0,0.0
2017-02-06 17:00:00,3664,274.3981604,13.719999999999999,77.70833333333333,4.937166666666667,6.14375,1030.0,60.676666666666655,0.0,0.0,0.0
2017-02-06 18:00:00,3665,234.8402511,13.307499999999997,81.97500000000001,5.090916666666667,6.373416666666667,1030.0,3.567416666666667,0.0,0.0,0.0
2017-02-06 19:00:00,3666,195.1657617,13.104999999999999,84.48333333333333,3.321333333333334,4.31875,1030.0,3.449833333333333,0.0,0.0,0.0
2017-02-06 20:00:00,3667,161.0760242,13.099166666666667,85.28333333333332,3.9484999999999997,5.3045,1030.0,3.922833333333333,0.0,0.0,0.0
2017-02-06 21:00:00,3668,161.3516723,13.103333333333333,85.39166666666667,4.191416666666666,5.681583333333333,1030.0,4.25275,0.0,0.0,0.0
2017-02-06 22:00:00,3669,151.7925227,13.108333333333334,85.35833333333333,5.218416666666667,6.351833333333334,1030.0,3.8212500000000005,0.0,0.0,0.0
2017-02-06 23:00:00,3670,145.4660116,13.168461538461536,84.53076923076922,4.69623076923077,5.90276923076923,1030.0,4.383692307692309,0.0,0.0,0.0
2017-03-06 00:00:00,3671,145.773264,13.64416666666667,77.39999999999999,1.9654166666666664,2.369166666666666,1027.0,0.8609166666666668,0.0,0.0,0.0
2017-03-06 01:00:00,3672,142.9508535,13.545833333333334,75.70833333333334,2.8355833333333336,3.3753333333333333,1027.0,1.08675,0.0,0.0,0.0
2017-03-06 02:00:00,3673,141.9503995,13.318333333333333,78.85000000000001,3.4015833333333334,4.2348333333333334,1027.0,0.9621666666666666,0.0,0.0,0.0
2017-03-06 03:00:00,3674,142.1454671,13.075833333333335,81.175,2.6818333333333335,3.2915833333333335,1027.0,0.8192499999999999,0.0,0.0,0.0
2017-03-06 04:00:00,3675,138.9641071,13.064166666666667,82.025,2.6694166666666663,3.3335000000000004,1027.0,0.8885833333333332,0.0,0.0,0.0
2017-03-06 05:00:00,3676,135.320822,12.85416666666667,81.06666666666666,2.7098333333333327,3.4801666666666673,1027.8333333333333,1.1376666666666668,0.0,0.0,0.0
2017-03-06 06:00:00,3677,139.1930813,12.832500000000001,81.50833333333333,3.6565,4.339666666666667,1028.0,1.2553333333333334,0.0,0.0,0.0
2017-03-06 07:00:00,3678,137.9950481,12.894166666666669,81.71666666666667,1.796083333333333,2.3689166666666663,1028.75,29.278000000000002,0.0,0.0,0.0
2017-03-06 08:00:00,3679,145.7148693,13.800833333333335,77.70833333333334,1.64925,2.2433333333333327,1029.0,162.74916666666667,0.0,0.0,0.0
2017-03-06 09:00:00,3680,148.1295634,14.425833333333335,71.72749999999999,3.635666666666667,4.7175,1030.0,213.36666666666667,0.0,0.0,0.0
2017-03-06 10:00:00,3681,146.5813713,14.920833333333333,66.49083333333333,4.26275,5.660166666666668,1030.8333333333333,290.175,0.0,0.0,0.0
2017-03-06 11:00:00,3682,149.9672174,15.091666666666663,66.13583333333334,4.676833333333333,5.6815,1031.0,295.5666666666666,0.0,0.0,0.0
2017-03-06 12:00:00,3683,149.7962193,15.284999999999998,70.34166666666667,3.850583333333334,4.654166666666667,1030.8333333333333,520.7916666666666,0.0,0.0,0.0
2017-03-06 13:00:00,3684,151.3852249,16.368333333333332,65.66,4.215833333333333,5.241166666666667,1029.8333333333333,588.5666666666666,0.0,0.0,0.0
2017-03-06 14:00:00,3685,151.0189499,15.74833333333333,68.78916666666667,5.070083333333334,6.163250000000001,1029.6666666666667,355.1333333333334,0.0,0.0,0.0
2017-03-06 15:00:00,3686,145.4431979,14.991666666666667,75.31666666666668,4.627999999999999,5.597666666666666,1030.0,137.14916666666667,0.0,0.0,0.0
2017-03-06 16:00:00,3687,148.0424946,14.868333333333334,77.53333333333335,3.771999999999999,4.738083333333333,1030.0,86.24416666666667,0.0,0.0,0.0
2017-03-06 17:00:00,3688,146.6236499,14.871666666666668,78.09166666666665,2.924666666666667,3.68975,1030.0,29.763333333333335,0.0,0.0,0.0
2017-03-06 18:00:00,3689,143.4196855,14.81666666666667,76.26666666666667,3.267,4.025333333333333,1030.0,3.5140833333333332,0.0,0.0,0.0
2017-03-06 19:00:00,3690,141.053549,14.714999999999998,75.81666666666666,3.5588333333333337,4.3815833333333325,1030.9166666666667,1.2552500000000002,0.0,0.0,0.0
2017-03-06 20:00:00,3691,140.9721313,14.4525,77.35833333333333,3.0679166666666666,3.815583333333333,1031.0,1.2641666666666669,0.0,0.0,0.0
2017-03-06 21:00:00,3692,140.9449223,13.858333333333333,76.125,4.420083333333333,5.325583333333334,1031.0,1.3010833333333336,0.0,0.0,0.0
2017-03-06 22:00:00,3693,140.199605,13.395000000000003,76.81666666666666,3.015333333333333,3.606,1031.0,0.84225,0.0,0.0,0.0
2017-03-06 23:00:00,3694,141.8911676,13.152307692307694,78.42307692307692,4.510615384615385,5.225153846153845,1031.0,0.9584615384615384,0.0,0.0,0.0
